,Date
0,1987:1:1:0
1,1987:1:1:6
2,1987:1:1:12
3,1987:1:1:18
4,1987:1:2:12
5,1987:1:2:18
6,1987:1:3:0
7,1987:1:3:6
8,1987:1:3:12
9,1987:1:3:18
10,1987:1:7:0
11,1987:1:10:0
12,1987:1:10:6
13,1987:1:11:6
14,1987:1:12:0
15,1987:1:12:6
16,1987:1:12:12
17,1987:1:14:6
18,1987:1:23:0
19,1987:1:24:0
20,1987:1:24:6
21,1987:1:24:12
22,1987:1:24:18
23,1987:1:25:0
24,1987:1:25:6
25,1987:1:25:12
26,1987:1:25:18
27,1987:1:26:0
28,1987:1:26:6
29,1987:1:26:12
30,1987:1:26:18
31,1987:1:27:0
32,1987:1:27:6
33,1987:1:27:12
34,1987:1:27:18
35,1987:1:28:0
36,1987:1:28:6
37,1987:1:29:12
38,1987:1:29:18
39,1987:1:30:0
40,1987:1:30:6
41,1987:1:31:6
42,1987:1:31:12
43,1987:1:31:18
44,1987:2:1:0
45,1987:2:1:6
46,1987:2:1:12
47,1987:2:1:18
48,1987:2:2:0
49,1987:2:2:6
50,1987:2:2:12
51,1987:2:4:0
52,1987:2:4:18
53,1987:2:5:6
54,1987:2:5:18
55,1987:2:6:0
56,1987:2:9:0
57,1987:2:9:0
58,1987:2:10:12
59,1987:2:10:18
60,1987:2:11:0
61,1987:2:11:6
62,1987:2:11:12
63,1987:2:12:12
64,1987:2:12:18
65,1987:2:13:0
66,1987:2:13:6
67,1987:2:13:12
68,1987:2:13:18
69,1987:2:14:0
70,1987:2:15:0
71,1987:2:15:6
72,1987:3:3:0
73,1987:3:3:6
74,1987:3:3:12
75,1987:3:3:18
76,1987:3:4:0
77,1987:3:4:6
78,1987:3:4:12
79,1987:3:4:18
80,1987:3:5:0
81,1987:3:5:6
82,1987:3:5:12
83,1987:3:5:18
84,1987:3:6:0
85,1987:3:6:6
86,1987:3:12:6
87,1987:3:12:12
88,1987:3:12:18
89,1987:3:17:0
90,1987:3:17:6
91,1987:3:17:12
92,1987:3:21:18
93,1987:3:22:0
94,1987:9:14:6
95,1987:9:14:12
96,1987:9:14:18
97,1987:9:20:0
98,1987:9:20:6
99,1987:9:20:12
100,1987:9:20:18
101,1987:10:11:12
102,1987:10:22:12
103,1987:10:22:18
104,1987:10:23:0
105,1987:10:24:12
106,1987:10:25:12
107,1987:10:28:0
108,1987:10:28:6
109,1987:10:28:12
110,1987:10:28:18
111,1987:10:29:0
112,1987:10:29:6
113,1987:10:29:18
114,1987:10:30:12
115,1987:10:30:18
116,1987:10:31:0
117,1987:10:31:6
118,1987:10:31:12
